"name","hex","red","green","blue"
cloudy blue,#acc2d9,172,194,217
dark pastel green,#56ae57,86,174,87
dust,#b2996e,178,153,110
electric lime,#a8ff04,168,255,4
fresh green,#69d84f,105,216,79
light eggplant,#894585,137,69,133
nasty green,#70b23f,112,178,63
really light blue,#d4ffff,212,255,255
tea,#65ab7c,101,171,124
warm purple,#952e8f,149,46,143
yellowish tan,#fcfc81,252,252,129
cement,#a5a391,165,163,145
dark grass green,#388004,56,128,4
dusty teal,#4c9085,76,144,133
grey teal,#5e9b8a,94,155,138
macaroni and cheese,#efb435,239,180,53
pinkish tan,#d99b82,217,155,130
spruce,#0a5f38,10,95,56
strong blue,#0c06f7,12,6,247
toxic green,#61de2a,97,222,42
windows blue,#3778bf,55,120,191
blue blue,#2242c7,34,66,199
blue with a hint of purple,#533cc6,83,60,198
booger,#9bb53c,155,181,60
bright sea green,#05ffa6,5,255,166
dark green blue,#1f6357,31,99,87
deep turquoise,#017374,1,115,116
green teal,#0cb577,12,181,119
strong pink,#ff0789,255,7,137
bland,#afa88b,175,168,139
deep aqua,#08787f,8,120,127
lavender pink,#dd85d7,221,133,215
light moss green,#a6c875,166,200,117
light seafoam green,#a7ffb5,167,255,181
olive yellow,#c2b709,194,183,9
pig pink,#e78ea5,231,142,165
deep lilac,#966ebd,150,110,189
desert,#ccad60,204,173,96
dusty lavender,#ac86a8,172,134,168
purpley grey,#947e94,148,126,148
purply,#983fb2,152,63,178
candy pink,#ff63e9,255,99,233
light pastel green,#b2fba5,178,251,165
boring green,#63b365,99,179,101
kiwi green,#8ee53f,142,229,63
light grey green,#b7e1a1,183,225,161
orange pink,#ff6f52,255,111,82
tea green,#bdf8a3,189,248,163
very light brown,#d3b683,211,182,131
egg shell,#fffcc4,255,252,196
eggplant purple,#430541,67,5,65
powder pink,#ffb2d0,255,178,208
reddish grey,#997570,153,117,112
baby shit brown,#ad900d,173,144,13
liliac,#c48efd,196,142,253
stormy blue,#507b9c,80,123,156
ugly brown,#7d7103,125,113,3
custard,#fffd78,255,253,120
darkish pink,#da467d,218,70,125
deep brown,#410200,65,2,0
greenish beige,#c9d179,201,209,121
manilla,#fffa86,255,250,134
off blue,#5684ae,86,132,174
battleship grey,#6b7c85,107,124,133
browny green,#6f6c0a,111,108,10
bruise,#7e4071,126,64,113
kelley green,#009337,0,147,55
sickly yellow,#d0e429,208,228,41
sunny yellow,#fff917,255,249,23
azul,#1d5dec,29,93,236
darkgreen,#054907,5,73,7
green/yellow,#b5ce08,181,206,8
lichen,#8fb67b,143,182,123
light light green,#c8ffb0,200,255,176
pale gold,#fdde6c,253,222,108
sun yellow,#ffdf22,255,223,34
tan green,#a9be70,169,190,112
burple,#6832e3,104,50,227
butterscotch,#fdb147,253,177,71
toupe,#c7ac7d,199,172,125
dark cream,#fff39a,255,243,154
indian red,#850e04,133,14,4
light lavendar,#efc0fe,239,192,254
poison green,#40fd14,64,253,20
baby puke green,#b6c406,182,196,6
bright yellow green,#9dff00,157,255,0
charcoal grey,#3c4142,60,65,66
squash,#f2ab15,242,171,21
cinnamon,#ac4f06,172,79,6
light pea green,#c4fe82,196,254,130
radioactive green,#2cfa1f,44,250,31
raw sienna,#9a6200,154,98,0
baby purple,#ca9bf7,202,155,247
cocoa,#875f42,135,95,66
light royal blue,#3a2efe,58,46,254
orangeish,#fd8d49,253,141,73
rust brown,#8b3103,139,49,3
sand brown,#cba560,203,165,96
swamp,#698339,105,131,57
tealish green,#0cdc73,12,220,115
burnt siena,#b75203,183,82,3
camo,#7f8f4e,127,143,78
dusk blue,#26538d,38,83,141
fern,#63a950,99,169,80
old rose,#c87f89,200,127,137
pale light green,#b1fc99,177,252,153
peachy pink,#ff9a8a,255,154,138
rosy pink,#f6688e,246,104,142
light bluish green,#76fda8,118,253,168
light bright green,#53fe5c,83,254,92
light neon green,#4efd54,78,253,84
light seafoam,#a0febf,160,254,191
tiffany blue,#7bf2da,123,242,218
washed out green,#bcf5a6,188,245,166
browny orange,#ca6b02,202,107,2
nice blue,#107ab0,16,122,176
sapphire,#2138ab,33,56,171
greyish teal,#719f91,113,159,145
orangey yellow,#fdb915,253,185,21
parchment,#fefcaf,254,252,175
straw,#fcf679,252,246,121
very dark brown,#1d0200,29,2,0
terracota,#cb6843,203,104,67
ugly blue,#31668a,49,102,138
clear blue,#247afd,36,122,253
creme,#ffffb6,255,255,182
foam green,#90fda9,144,253,169
grey/green,#86a17d,134,161,125
light gold,#fddc5c,253,220,92
seafoam blue,#78d1b6,120,209,182
topaz,#13bbaf,19,187,175
violet pink,#fb5ffc,251,95,252
wintergreen,#20f986,32,249,134
yellow tan,#ffe36e,255,227,110
dark fuchsia,#9d0759,157,7,89
indigo blue,#3a18b1,58,24,177
light yellowish green,#c2ff89,194,255,137
pale magenta,#d767ad,215,103,173
rich purple,#720058,114,0,88
sunflower yellow,#ffda03,255,218,3
green/blue,#01c08d,1,192,141
leather,#ac7434,172,116,52
racing green,#014600,1,70,0
vivid purple,#9900fa,153,0,250
dark royal blue,#02066f,2,6,111
hazel,#8e7618,142,118,24
muted pink,#d1768f,209,118,143
booger green,#96b403,150,180,3
canary,#fdff63,253,255,99
cool grey,#95a3a6,149,163,166
